PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20250939;09;2025;8345569;1;1;1;60;;2;26.598435838;08;1;113;2;;;;;;;;;;;;492;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;2;;;;;;;;6000000;12;0;0;960000;0;200000;0;0;0;0;1;100000;2;;;;2;;;2;;500000;1;6000000;2;;9;2;12;56;;;56;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;4;3;;1;500000;01;0113;6111
20250939;09;2025;8345570;1;2;1;60;;2;54.026350027;08;1;113;2;;;;;;;;;;;;468;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1050000;1;12600000;3;;9;2;12;70;;;70;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;3;;1;1050000;01;0113;6111
20250939;09;2025;8345570;1;3;1;60;;2;54.026350027;08;1;220;2;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;300000;1;1600000;3;;1;1;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;0;3;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;300000;02;0220;6210
20250939;09;2025;8345570;1;4;1;60;;2;54.026350027;08;1;161;2;;;;;;;;;;;;286;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;7200000;3;;9;2;12;40;;;40;;;1;8;;10;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;18;3;;1;600000;01;0161;9211
20250939;09;2025;8345571;1;1;1;60;;2;43.734934091;08;1;113;2;;;;;;;;;;;;172;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;350000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;300000;1;3600000;3;;3;2;12;35;2;;35;;;2;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;;4;5;;1;300000;01;0113;6111
20250939;09;2025;8345571;1;2;1;60;;2;43.734934091;08;1;161;2;;;;;;;;;;;;6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;800000;1;9600000;3;;1;2;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;0;12;1;;1;;1;21;6111;113;6;;2;8;2;;;;1;2;1;2;2;2;1;1;1;2;;2;1;2;2;1;2;2;1;3;;5;5;;1;800000;01;0161;9211
20250939;09;2025;8345572;1;1;1;60;;2;59.537622272;08;1;141;1;1;;;1;;1;;2;2;2;2;24;7;;2;2;2;2;1;2;800000;2;;2;;;2;;1;100000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;8;;10;;2;;;;2;2;1;0;48;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;900000;01;0141;9211
20250939;09;2025;8345573;1;1;1;60;;2;55.894034289;08;1;161;2;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;500000;1;2500000;3;;1;1;12;40;;;40;;;1;8;;2;;2;;;;2;2;1;0;4;1;;1;;2;;;;;;;;2;;;;1;1;1;2;2;2;1;1;1;2;;1;1;2;2;1;2;2;1;3;;10;3;;1;500000;01;0161;6111
20250939;09;2025;8345574;1;2;1;60;;2;44.714791435;08;1;161;2;;;;;;;;;;;;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;320000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;320000;1;2560000;3;;2;2;12;42;;;42;;;1;8;;2;;2;;;;2;2;1;8;6;4;;1;;2;;;;;;;;2;;;;1;2;1;2;2;2;2;2;2;1;TENER ESTABILIDAD;2;1;1;1;1;2;2;1;3;;10;8;;1;320000;01;0161;9211
20250939;09;2025;8345575;1;1;1;60;;2;55.894034289;08;1;113;2;;;;;;;;;;;;24;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;7200000;3;;1;1;12;60;;;60;;;1;8;;2;;2;;;;2;2;1;0;6;1;;1;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;1;2;2;;1;1;1;2;1;2;1;1;3;;10;3;;1;600000;01;0113;6111
